"ID","案例类型","论文名称","论文作者","论文链接","论文年份","来源标签
（会议期刊）","github链接","状态"
"55","💡 未复现","MAGiC-SLAM: Multi-Agent Gaussian Globally Consistent SLAM","Vladimir Yugay, Theo Gevers, Martin R. Oswald","https://arxiv.org/abs/2411.16785","2025","CVPR","https://github.com/VladimirYugay/MAGiC-SLAM",""
"56","💡 未复现","Murre: Multi-view Reconstruction via SfM-guided Monocular Depth Estimation","Haoyu Guo, He Zhu, Sida Peng, Haotong Lin, Yunzhi Yan, Tao Xie, Wenguan Wang, Xiaowei Zhou, Hujun Bao","https://arxiv.org/abs/2503.14483","2025","CVPR","https://github.com/zju3dv/Murre",""
"57","💡 未复现","STAR: Spatial-Temporal Augmentation with Text-to-Video Models for Real-World Video Super-Resolution","Rui Xie, Yinhong Liu, Penghao Zhou, Chen Zhao, Jun Zhou, Kai Zhang, Zhenyu Zhang, Jian Yang, Zhenheng Yang, Ying Tai","https://arxiv.org/abs/2501.02976","2025","ICCV","https://github.com/NJU-PCALab/STAR",""
"58","💡 未复现","SemanticDraw: Towards Real-Time Interactive Content Creation from Image Diffusion Models","Jaerin Lee, Daniel Sungho Jung, Kanggeon Lee, Kyoung Mu Lee","https://arxiv.org/abs/2403.09055","2025","CVPR","https://github.com/ironjr/semantic-draw",""
"59","💡 未复现","HSMR: Reconstructing Humans with a Biomechanically Accurate Skeleton","Yan Xia, Xiaowei Zhou, Etienne Vouga, Qixing Huang, Georgios Pavlakos","https://arxiv.org/abs/2503.21751","2025","CVPR","https://github.com/IsshikiHugh/HSMR",""
"60","💡 未复现","RLAIF-V: Open-Source AI Feedback Leads to Super GPT-4V Trustworthiness","Tianyu Yu, Haoye Zhang, Qiming Li, Qixin Xu, Yuan Yao, Da Chen, Xiaoman Lu, Ganqu Cui, Yunkai Dang, Taiwen He, Xiaocheng Feng, Jun Song, Bo Zheng, Zhiyuan Liu, Tat-Seng Chua, Maosong Sun","https://arxiv.org/abs/2405.17220","2025","CVPR","https://github.com/RLHF-V/RLAIF-V",""
"61","💡 未复现","DFormer：Rethinking RGBD Representation Learning for Semantic Segmentation","Bowen Yin, Xuying Zhang, Zhongyu Li, Li Liu, Ming-Ming Cheng, Qibin Hou","https://arxiv.org/abs/2309.09668","2025","CVPR","https://github.com/VCIP-RGBD/DFormer",""
"62","💡 未复现","GaussianCity: Generative Gaussian Splatting for Unbounded 3D City Generation","Haozhe Xie, Zhaoxi Chen, Fangzhou Hong, Ziwei Liu","https://arxiv.org/abs/2406.06526","2025","CVPR","https://github.com/hzxie/GaussianCity",""
"63","💡 未复现","PhysTwin: Physics-Informed Reconstruction and Simulation of Deformable Objects from Videos","Hanxiao Jiang, Hao-Yu Hsu, Kaifeng Zhang, Hsin-Ni Yu, Shenlong Wang, Yunzhu Li","https://arxiv.org/abs/2503.17973","2025","ICCV","https://github.com/Jianghanxiao/PhysTwin",""
"64","💡 未复现","UniGoal: Towards Universal Zero-shot Goal-oriented Navigation","Hang Yin, Xiuwei Xu, Lingqing Zhao, Ziwei Wang, Jie Zhou, Jiwen Lu","https://arxiv.org/abs/2503.10630","2025","CVPR","https://github.com/bagh2178/UniGoal",""
"65","💡 未复现","Momentum-GS: Momentum Gaussian Self-Distillation for High-Quality Large Scene Reconstruction","Jixuan Fan, Wanhua Li, Yifei Han, Yansong Tang","https://arxiv.org/abs/2412.04887","2025","ICCV","https://github.com/Jixuan-Fan/Momentum-GS",""
"66","💡 未复现","MINIMA: Modality Invariant Image Matching","Jiangwei Ren, Xingyu Jiang, Zizhuo Li, Dingkang Liang, Xin Zhou, Xiang Bai","https://arxiv.org/abs/2412.19412","2025","CVPR","https://github.com/LSXI7/MINIMA",""
"67","💡 未复现","Uni4D: Unifying Visual Foundation Models for 4D Modeling from a Single Video","David Yifan Yao, Albert J. Zhai, Shenlong Wang","https://arxiv.org/abs/2503.21761","2025","CVPR","https://github.com/Davidyao99/uni4d",""
"68","💡 未复现","Diffusion Renderer: Neural Inverse and Forward Rendering with Video Diffusion Models","Ruofan Liang, Zan Gojcic, Huan Ling, Jacob Munkberg, Jon Hasselgren, Zhi-Hao Lin, Jun Gao, Alexander Keller, Nandita Vijaykumar, Sanja Fidler, Zian Wang","https://arxiv.org/abs/2501.18590","2025","CVPR","https://github.com/52CV/CVPR-2025-Papers",""
"69","💡 未复现","Linear Programming Bounds on k-Uniform States","Yu Ning, Fei Shi, Tao Luo, Xiande Zhang","https://arxiv.org/abs/2503.02222","2025","ICCV","https://github.com/Epona-World-Model/Epona",""
"70","💡 未复现","LGM: Large Multi-View Gaussian Model for High-Resolution 3D Content Creation","Jiaxiang Tang, Zhaoxi Chen, Xiaokang Chen, Tengfei Wang, Gang Zeng, Ziwei Liu","https://arxiv.org/abs/2402.05054","2024","ECCV","https://github.com/3DTopia/LGM",""
"71","💡 未复现","VideoMamba: State Space Model for Efficient Video Understanding","Kunchang Li, Xinhao Li, Yi Wang, Yinan He, Yali Wang, Limin Wang, Yu Qiao","https://arxiv.org/abs/2403.06977","2024","ECCV","https://github.com/OpenGVLab/video-mamba-suite",""
"72","💡 未复现","DriveLM: Driving with Graph Visual Question Answering","Chonghao Sima, Katrin Renz, Kashyap Chitta, Li Chen, Hanxue Zhang, Chengen Xie, Jens Beißwenger, Ping Luo, Andreas Geiger, Hongyang Li","https://arxiv.org/abs/2312.14150","2024","ECCV","https://github.com/OpenDriveLab/DriveLM",""
"73","💡 未复现","GRiT: A Generative Region-to-text Transformer for Object Understanding","Jialian Wu, Jianfeng Wang, Zhengyuan Yang, Zhe Gan, Zicheng Liu, Junsong Yuan, Lijuan Wang","https://arxiv.org/abs/2212.00280","2024","ECCV","https://github.com/JialianW/GRiT",""
"74","💡 未复现","PointLLM: Empowering Large Language Models to Understand Point Clouds","Runsen Xu, Xiaolong Wang, Tai Wang, Yilun Chen, Jiangmiao Pang, Dahua Lin","https://arxiv.org/abs/2308.16911","2024","ECCV","https://github.com/OpenRobotLab/PointLLM",""
"75","💡 未复现","nuCraft: Crafting High Resolution 3D Semantic Occupancy for Unified 3D Scene Understanding","Benjin Zhu, Zhe Wang, and Hongsheng Li","https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00730.pdf","2024","ECCV","/",""
"76","💡 未复现","Adversarial Diffusion Distillation","Axel Sauer, Dominik Lorenz, Andreas Blattmann, Robin Rombach","https://arxiv.org/abs/2311.17042","2024","ECCV","https://github.com/AMD-AIG-AIMA/AMD-Diffusion-Distillation",""
"77","💡 未复现","Generative Image Dynamics","Zhengqi Li, Richard Tucker, Noah Snavely, Aleksander Holynski","https://arxiv.org/abs/2309.07906","2024","CVPR","https://generative-dynamics.github.io/","最佳论文"
"78","💡 未复现","Rich Human Feedback for Text-to-Image Generation","Youwei Liang, Junfeng He, Gang Li, Peizhao Li, Arseniy Klimovskiy, Nicholas Carolan, Jiao Sun, Jordi Pont-Tuset, Sarah Young, Feng Yang, Junjie Ke, Krishnamurthy Dj Dvijotham, Katie Collins, Yiwen Luo, Yang Li, Kai J Kohlhoff, Deepak Ramachandran, Vidhya Navalpakkam","https://arxiv.org/pdf/2312.10240","2024","CVPR","https://github.com/youweiliang/RichHF","最佳论文"
"79","💡 未复现","Mip-Splatting: Alias-free 3D Gaussian Splatting","Zehao Yu, Anpei Chen, Binbin Huang, Torsten Sattler, Andreas Geiger","https://arxiv.org/abs/2311.16493","2024","CVPR","https://github.com/autonomousvision/mip-splatting","最佳学生论文"
"80","💡 未复现","BioCLIP: A Vision Foundation Model for the Tree of Life","Samuel Stevens, Jiaman Wu, Matthew J Thompson, Elizabeth G Campolongo, Chan Hee Song, David Edward Carlyn, Li Dong, Wasila M Dahdul, Charles Stewart, Tanya Berger-Wolf, Wei-Lun Chao, Yu Su","https://arxiv.org/abs/2311.18803","2024","CVPR","https://github.com/Imageomics/bioclip","最佳学生论文"
"81","💡 未复现","4D Gaussian Splatting for Real-Time Dynamic Scene Rendering","Guanjun Wu, Taoran Yi, Jiemin Fang, Lingxi Xie, Xiaopeng Zhang, Wei Wei, Wenyu Liu, Qi Tian, Xinggang Wang","https://arxiv.org/abs/2310.08528","2024","CVPR","https://github.com/hustvl/4DGaussians",""
"82","💡 未复现","Depth Anything: Unleashing The Power of Large-Scale Unlabeled Data","Lihe Yang, Bingyi Kang, Zilong Huang, Xiaogang Xu, Jiashi Feng, Hengshuang Zhao","https://arxiv.org/abs/2401.10891","2024","CVPR","https://github.com/LiheYoung/Depth-Anything",""
"83","💡 未复现","LISA: Reasoning Segmentation Via Large Language Model","Xin Lai, Zhuotao Tian, Yukang Chen, Yanwei Li, Yuhui Yuan, Shu Liu, Jiaya Jia","https://arxiv.org/abs/2308.00692","2024","CVPR","https://github.com/dvlab-research/LISA",""
"84","💡 未复现","InternVL: Scaling up Vision Foundation Models and Aligning for Generic Visual-Linguistic Tasks","Zhe Chen, Jiannan Wu, Wenhai Wang, Weijie Su, Guo Chen, Sen Xing, Muyan Zhong, Qinglong Zhang, Xizhou Zhu, Lewei Lu, Bin Li, Ping Luo, Tong Lu, Yu Qiao, Jifeng Dai","https://arxiv.org/abs/2312.14238","2024","CVPR","https://github.com/OpenGVLab/InternVL",""
"85","💡 未复现","MMMU: A Massive Multi-discipline Multimodal Understanding and Reasoning Benchmark","Xiang Yue, Yuansheng Ni, Kai Zhang, Tianyu Zheng, Ruoqi Liu, Ge Zhang, Samuel Stevens, Dongfu Jiang, Weiming Ren, Yuxuan Sun, Cong Wei, Botao Yu, Ruibin Yuan, Renliang Sun, Ming Yin, Boyuan Zheng, Zhenzhu Yang, Yibo Liu, Wenhao Huang, Huan Sun, Yu Su, Wenhu Chen","https://arxiv.org/abs/2311.16502","2024","CVPR","https://github.com/MMMU-Benchmark/MMMU",""
"86","💡 未复现","EfficientSAM: Leveraged Masked Image Pretraining for Efficient Segment Anything","Yunyang Xiong, Bala Varadarajan, Lemeng Wu, Xiaoyu Xiang, Fanyi Xiao, Chenchen Zhu, Xiaoliang Dai, Dilin Wang, Fei Sun, Forrest Iandola, Raghuraman Krishnamoorthi, Vikas Chandra","https://arxiv.org/abs/2312.00863","2024","CVPR","https://github.com/yformer/EfficientSAM",""
"87","💡 未复现","Improved Baselines with Visual Instruction Tuning (LLaVA-1.5)","Haotian Liu, Chunyuan Li, Yuheng Li, Yong Jae Lee","https://arxiv.org/abs/2310.03744","2024","CVPR","https://github.com/LLaVA-VL/LLaVA-NeXT",""
"88","💡 未复现","DemoFusion: Democratising High-Resolution Image Generation With No $$$","Ruoyi Du, Dongliang Chang, Timothy Hospedales, Yi-Zhe Song, Zhanyu Ma","https://arxiv.org/abs/2311.16973","2024","CVPR","https://github.com/PRIS-CV/DemoFusion",""
"89","💡 未复现","ViewDiff: 3D-Consistent Image Generation with Text-to-Image Models","Lukas Höllein, Aljaž Božič, Norman Müller, David Novotny, Hung-Yu Tseng, Christian Richardt, Michael Zollhöfer, Matthias Nießner","https://arxiv.org/abs/2403.01807","2024","CVPR","https://github.com/facebookresearch/ViewDiff",""
"90","💡 未复现","OmniGlue: Generalizable Feature Matching with Foundation Model Guidance","Hanwen Jiang, Arjun Karpur, Bingyi Cao, Qixing Huang, Andre Araujo","https://arxiv.org/abs/2405.12979","2024","CVPR","https://github.com/google-research/omniglue",""
"91","💡 未复现","DocRes: A Generalist Model Toward Unifying Document Image Restoration Tasks","Jiaxin Zhang, Dezhi Peng, Chongyu Liu, Peirong Zhang, Lianwen Jin","https://arxiv.org/abs/2405.04408","2024","CVPR","https://github.com/ZZZHANG-jx/DocRes",""
"92","💡 未复现","MobileCLIP: Fast Image-Text Models through Multi-Modal Reinforced Training","Pavan Kumar Anasosalu Vasu, Hadi Pouransari, Fartash Faghri, Raviteja Vemulapalli, Oncel Tuzel","https://arxiv.org/abs/2311.17049","2024","CVPR","https://github.com/apple/ml-mobileclip",""
